id,source,title,description,category,tags,publisher,attribution,sector,geo_coverage,update_frequency,language,created_at,updated_at,data_updated_at,page_views_total,download_count,license,landing_page,api_endpoint,csv_download,n_columns
gdxc-w37w,datos.gov.co,DIVIPOLA- Códigos municipios,"Código de la división Político Administrativa del país, Actualización a corte 30 diciembre 2024.",Mapas Nacionales,codigo; departamento; municipio,Departamento Administrativo Nacional de Estadística - DANE,"Gobernación de Guainía, Guainía",Planeación,Departamental,Semestral,Español,2016-07-14T02:37:52.000Z,2026-05-18T17:51:57.000Z,2025-01-24T20:44:32.000Z,182790,249963,Creative Commons Attribution | Share Alike 4.0 International,https://www.datos.gov.co/d/gdxc-w37w,https://www.datos.gov.co/resource/gdxc-w37w.json,https://www.datos.gov.co/api/views/gdxc-w37w/rows.csv?accessType=DOWNLOAD,7
xaxy-8nri,datos.gov.co,DIVIPOLA - Códigos cabeceras - Centros poblados,"Código de la división Político Administrativa del país, Actualización a corte 30 diciembre 2024.",Mapas Nacionales,municipios; departamento; codigo; divipola; cabeceras municipales; areas no municipalizadas; centro poblado,Departamento Administrativo Nacional de Estadística - DANE,"Departamento Administrativo Nacional de Estadísticas - DANE, Bogotá D.C.",Estadísticas,Nacional,Anual,Español,2020-06-11T15:39:41.000Z,2026-05-18T16:41:13.000Z,2025-01-24T21:14:58.000Z,16714,3138,Creative Commons Attribution | Share Alike 4.0 International,https://www.datos.gov.co/d/xaxy-8nri,https://www.datos.gov.co/resource/xaxy-8nri.json,https://www.datos.gov.co/api/views/xaxy-8nri/rows.csv?accessType=DOWNLOAD,9
vcjz-niiq,datos.gov.co,DIVIPOLA- Códigos departamentos,"Código de la división Político Administrativa del país, Actualización a corte 30 diciembre 2024.",Mapas Nacionales,departamento; codigo; divipola,Departamento Administrativo Nacional de Estadística - DANE,"Departamento Administrativo Nacional de Estadísticas - DANE, Bogotá D.C.",Estadísticas,Nacional,Anual,Español,2020-06-12T13:11:24.000Z,2026-05-18T16:40:42.000Z,2025-01-23T21:56:46.000Z,18401,1443,Creative Commons Attribution | Share Alike 4.0 International,https://www.datos.gov.co/d/vcjz-niiq,https://www.datos.gov.co/resource/vcjz-niiq.json,https://www.datos.gov.co/api/views/vcjz-niiq/rows.csv?accessType=DOWNLOAD,4
