id,source,idno,title,category,repository_id,publisher,nation,access,year_start,year_end,created_at,updated_at,page_views_total,download_count,landing_page,api_endpoint
763,microdatos.dane.gov.co,DANE-DIMPE-GEIH-EMPALME-2017,Gran Encuesta Integrada de Hogares - GEIH - Empalme - 2017,Mercado Laboral.,MERCLAB-Microdatos,El presente catálogo contiene las bases de datos de la GEIH con factor de expansión empalmado. A partir del año 2014 incluye información de las 8 ciudades capitales de la Amazonía y Orinoquía y San Andrés.,Colombia,direct,2017,2017,2022-11-11T16:34:26+00:00,2022-11-11T16:46:03+00:00,65050,4625,https://microdatos.dane.gov.co/index.php/catalog/763,https://microdatos.dane.gov.co/index.php/api/catalog/763
387,microdatos.dane.gov.co,MINCULTURA-LRPN-2014,Largometrajes Reconocidos como Producto Nacional  - LRPN - 2014,,CAT_MET_MIN_CUL,Ministerio de Cultura - Dirección de Cinematografía,Colombia,data_na,0,0,2015-12-24T14:24:40+00:00,2015-12-24T14:24:40+00:00,26219,4569,https://microdatos.dane.gov.co/index.php/catalog/387,https://microdatos.dane.gov.co/index.php/api/catalog/387
618,microdatos.dane.gov.co,DANE-DIMPE-GEIH-II-SEMESTRE-2012,Gran Encuesta Integrada de Hogares - GEIH - 2012 - San Andrés (II Semestre),Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2012,2012,2019-08-08T19:38:24+00:00,2019-08-08T20:21:16+00:00,122704,4527,https://microdatos.dane.gov.co/index.php/catalog/618,https://microdatos.dane.gov.co/index.php/api/catalog/618
602,microdatos.dane.gov.co,DANE-DIMPE-EDI-SECTOR-2012,Encuesta Sobre Ambiente y Desempeño Institucional Nacional  - EDI - 2012 ( SECTOR),Gobierno.,GOB-Microdatos,Departamento Administrativo Nacional de Estadística - DANE - Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2012,2012,2019-03-29T20:41:09+00:00,2020-03-27T20:59:01+00:00,174929,4502,https://microdatos.dane.gov.co/index.php/catalog/602,https://microdatos.dane.gov.co/index.php/api/catalog/602
675,microdatos.dane.gov.co,DANE-DIMPE-ENA-2013-II-SEMESTRE,Encuesta Nacional Agropecuaria - ENA - 2013 - II - Semestre.,Agropecuario.,Agrop-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2013,2013,2020-07-03T13:19:13+00:00,2020-07-06T16:34:21+00:00,130373,4491,https://microdatos.dane.gov.co/index.php/catalog/675,https://microdatos.dane.gov.co/index.php/api/catalog/675
528,microdatos.dane.gov.co,DANE-DIMPE-EDID-REGION-2017,Encuesta Sobre Ambiente y Desempeño Institucional Departamental- EDID - 2017 (REGION),Gobierno.,GOB-Microdatos,Departamento Administrativo Nacional de Estadística - DANE - Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2017,2017,2018-02-02T15:47:26+00:00,2018-02-02T15:50:25+00:00,263718,4467,https://microdatos.dane.gov.co/index.php/catalog/528,https://microdatos.dane.gov.co/index.php/api/catalog/528
179,microdatos.dane.gov.co,DANE-DIMPE- IIOC- 2009,Indicador de Inversión Obras Civiles  - IIOC - 2009,Metadatos - DANE,METADATOS,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,data_na,2009,2009,2014-04-03T15:13:28+00:00,2014-04-03T15:13:28+00:00,26096,4452,https://microdatos.dane.gov.co/index.php/catalog/179,https://microdatos.dane.gov.co/index.php/api/catalog/179
414,microdatos.dane.gov.co,DANE-DIMPE-GEIH-MFPT-2015,"Modulo de Formación para el Trabajo - MFPT- GEIH - 2015 ( II Trimestre ), II trimestre",Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2015,2015,2016-06-27T15:38:08+00:00,2023-01-05T14:56:22+00:00,34240,4452,https://microdatos.dane.gov.co/index.php/catalog/414,https://microdatos.dane.gov.co/index.php/api/catalog/414
410,microdatos.dane.gov.co,DANE-POBREZAMONETARIADESIGUALDAD-2015,Medición de Pobreza Monetaria y Desigualdad 2015,Pobreza y condiciones de vida.,POBCONVID,Departamento Administrativo Nacional de Estadística,Colombia,direct,0,0,2016-05-19T16:16:02+00:00,2017-09-25T14:55:33+00:00,86341,4425,https://microdatos.dane.gov.co/index.php/catalog/410,https://microdatos.dane.gov.co/index.php/api/catalog/410
533,microdatos.dane.gov.co,DANE-DIMPE-EDIT-S-2008-2009,Encuesta de Desarrollo e Innovación Tecnológica de Servicios - EDIT- S - 2008-2009,Tecnología e innovación.,TECINNO-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2010,2010,2018-02-12T19:54:35+00:00,2020-05-21T16:12:43+00:00,146531,4424,https://microdatos.dane.gov.co/index.php/catalog/533,https://microdatos.dane.gov.co/index.php/api/catalog/533
